Nom de la société;Symbole;1 semaine;2 mois;6 mois;1 an;3 ans;5 ans
Neupath Health Inc.;NPTH;0.00%;0.00%;0.00%;100.00%;-88.00%;5900.00%
Encore Energy Corp.;EU;2.72%;-0.95%;8.36%;59.62%;26.91%;1283.33%
Datable Technology Corporation;DAC;-2.12%;21.74%;25.45%;35.45%;23.59%;933.91%
Sigma Lithium Corporation;SGML;-9.79%;-9.53%;-61.32%;-68.74%;161.19%;929.41%
Western Metallica Resources Corp.;WMS;4.21%;13.15%;30.02%;57.61%;65.47%;467.69%
Orosur Mining Inc.;OMI;1.06%;-29.47%;-15.48%;-9.77%;-61.97%;458.50%
Sitka Gold Corp.;SIG;-15.85%;-8.86%;-11.43%;45.66%;20.86%;417.53%
Sierra Madre Gold and Silver Ltd.;SM;-2.82%;-2.72%;25.38%;69.77%;109.80%;302.71%
Entourage Health Corp.;ENTG;-0.01%;11.04%;19.14%;28.32%;16.86%;264.27%
Olive Resource Capital Inc.;OC;-1.15%;9.04%;21.57%;43.70%;86.43%;248.92%
Nortec Minerals Corp.;NVT;-1.87%;12.07%;38.18%;67.14%;160.23%;228.37%
Callinex Mines Inc.;CNX;-8.26%;-0.87%;19.63%;39.22%;75.02%;228.16%
Mammoth Resources Corp.;MTH;-3.57%;7.85%;-4.24%;23.42%;71.81%;222.98%
Stinger Resources Inc.;STNG;0.80%;15.62%;31.07%;81.01%;270.41%;209.74%
Marvel Biosciences Corp.;MRVL;-0.30%;16.32%;27.11%;20.24%;33.42%;205.13%
Tethys Petroleum Limited;TPL;-1.23%;31.05%;42.73%;73.59%;44.54%;200.66%
Cielo Waste Solutions Corp.;CMC;-1.07%;-7.91%;4.27%;7.45%;66.96%;196.90%
Canada Carbon Inc.;CCB;0.38%;12.56%;-0.05%;13.46%;45.46%;187.99%
Tinka Resources Limited;TK;-6.57%;20.08%;17.16%;44.74%;126.37%;186.14%
Barksdale Resources Corp.;BRO;2.14%;12.01%;32.64%;39.91%;76.15%;180.88%
Camino Minerals Corporation;COR;3.07%;0.15%;18.72%;28.57%;103.40%;180.84%
Fintech Select Ltd.;FTEC;2.89%;21.40%;23.72%;35.74%;53.20%;180.28%
Beacn Wizardry & Magic Inc.;BECN;-5.32%;0.77%;12.04%;20.22%;81.14%;180.09%
Midwest Energy Emissions Corp.;MEEC;-11.69%;-12.82%;-27.66%;112.50%;-37.61%;172.00%
Inspire Semiconductor Holdings Inc.;INSP;-3.05%;-27.90%;-12.01%;-48.14%;-13.98%;171.90%
TDG Gold Corp.;TDG;1.31%;11.54%;36.45%;63.04%;99.65%;169.26%
Oracle Commodity Holding Corp.;ORCL;3.03%;26.29%;38.88%;18.52%;85.46%;157.73%
Alturas Minerals Corp;ALT;-7.37%;-20.88%;-25.94%;44.85%;-62.21%;156.96%
NowVertical Group Inc.;NOW;1.20%;1.14%;5.24%;30.51%;36.54%;155.54%
Pender Growth Fund Inc.;PTF;3.38%;20.06%;24.50%;32.54%;30.39%;151.96%
Metallis Resources Inc.;MTS;3.25%;22.74%;30.28%;44.11%;67.38%;142.23%
Decisive Dividend Corporation;DE;3.42%;-4.22%;-1.16%;-6.18%;13.28%;132.99%
Falcon Gold Corp.;FG;-2.77%;1.72%;-17.90%;76.54%;125.97%;125.97%
Altai Resources Inc;ATI;-5.46%;10.93%;23.85%;36.77%;155.44%;123.57%
Decibel Cannabis Company Inc.;DB;-2.29%;-2.77%;18.72%;54.80%;19.80%;119.92%
Coast Copper Corp.;COCO;-5.87%;25.78%;11.70%;4.20%;114.72%;114.72%
Standard Lithium Ltd.;SLI;-12.50%;15.60%;-34.72%;-71.36%;-65.76%;109.30%
EarthLabs Inc.;SPOT;-1.77%;13.83%;64.22%;97.62%;26.18%;108.95%
Silver Valley Metals Corp.;SILV;-1.59%;7.61%;24.77%;37.07%;-9.84%;103.02%
Clean Air Metals Inc.;AIR;5.30%;6.74%;-0.39%;27.86%;74.91%;102.17%
Discovery Harbour Resources Corp.;DHR;-2.68%;9.08%;13.54%;22.77%;10.62%;102.10%
Millennial Potash Corp.;MLP;-2.69%;0.30%;33.22%;41.85%;86.96%;99.10%
Thiogenesis Therapeutics, Corp.;TTI;-8.05%;-27.60%;-30.13%;13.48%;-20.20%;98.76%
Kestrel Gold Inc.;KGC;0.40%;16.07%;24.96%;61.85%;15.54%;98.15%
Petrox Resources Corp.;PTC;-2.22%;-3.09%;2.28%;22.08%;28.50%;94.74%
Abacus Mining & Exploration Corporation;AME;-1.62%;-3.91%;5.61%;10.02%;27.80%;94.74%
Orex Minerals Inc.;REX;-2.71%;-19.51%;-2.92%;34.91%;39.05%;94.66%
Silver X Mining Corp.;AGX;1.35%;25.89%;67.06%;93.81%;68.11%;93.56%
Rathdowney Resources Ltd.;RTH;1.38%;3.78%;11.91%;21.59%;20.81%;89.67%
Vicinity Motor Corp.;VMC;2.61%;0.44%;15.57%;22.49%;51.30%;89.45%
Kenorland Minerals Ltd.;KLD;1.44%;9.48%;14.46%;22.11%;20.63%;85.20%
Reco International Group Inc.;RGI;-0.17%;0.77%;8.99%;16.78%;24.29%;83.36%
HIVE Digital Technologies Ltd.;HIVE;10.74%;12.24%;-20.67%;-8.33%;-72.38%;83.33%
Mas Gold Corp.;MAS;0.59%;-3.65%;3.51%;23.89%;18.45%;82.13%
Big Tree Carbon Inc.;BIGT;1.44%;21.85%;35.07%;50.84%;81.47%;81.47%
Pool Safe Inc.;POOL;-2.55%;-7.65%;-13.50%;-4.42%;-25.39%;80.73%
Rockridge Resources Ltd.;ROCK;-0.76%;-1.89%;-10.51%;20.07%;-5.26%;79.82%
Northern Lion Gold Corp.;NL;-5.17%;-13.95%;21.77%;14.58%;-11.53%;78.38%
HPQ Silicon Inc.;HPQ;1.24%;32.67%;23.36%;21.85%;25.81%;77.54%
Richmond Minerals Inc.;RMD;0.65%;17.70%;22.02%;-2.09%;-11.38%;76.79%
Lodestar Battery Metals Corp.;LSTR;-1.04%;5.58%;-6.64%;-1.99%;14.48%;73.29%
Whitemud Resources Inc;WMK;-0.95%;-0.50%;-3.74%;-4.48%;16.46%;71.21%
Darelle Online Solutions Inc.;DAR;-5.81%;-19.54%;-29.26%;-42.90%;-45.96%;70.88%
Fortune Bay Corp.;FOR;-3.21%;0.67%;-7.84%;52.06%;49.10%;69.55%
Nio Strategic Metals Inc.;NIO;-0.45%;10.75%;-44.07%;-52.62%;-90.48%;67.80%
European Electric Metals Inc.;EVX;0.25%;4.76%;12.66%;10.25%;21.07%;67.10%
Arch Biopartners Inc.;ARCH;-1.32%;-2.99%;-3.39%;35.88%;187.48%;66.71%
Kingman Minerals Ltd.;KGS;0.11%;-5.01%;34.14%;66.69%;66.69%;66.69%
Emergent Metals Corp.;EMR;0.17%;0.05%;14.81%;25.24%;14.48%;65.60%
California Nanotechnologies Corp;CNO;-0.37%;2.84%;-1.13%;20.00%;16.85%;65.33%
CopperCorp Resources Inc.;CPER;-0.72%;-1.53%;15.53%;15.57%;7.91%;64.47%
Visionstate Corp.;VIS;-0.13%;1.77%;10.26%;18.92%;22.08%;64.34%
Tenth Avenue Petroleum Corp.;TPC;9.36%;60.72%;154.75%;234.31%;55.55%;64.12%
Intrepid Metals Corp.;INTR;0.53%;9.40%;7.14%;70.66%;63.79%;63.79%
GoldON Resources Ltd.;GLD;0.35%;-0.05%;14.55%;19.87%;29.06%;63.26%
Rhyolite Resources Ltd;RYE;-1.28%;-5.64%;6.16%;18.83%;72.85%;62.40%
Alvopetro Energy Ltd.;ALV;-4.47%;-7.23%;3.09%;28.02%;10.88%;61.66%
RT Minerals Corp.;RTM;-1.15%;1.07%;5.28%;10.52%;6.63%;61.31%
C-COM Satellite Systems Inc.;CMI;0.58%;-5.72%;13.83%;17.44%;16.07%;61.09%
ROK Resources Inc.;ROK;-0.71%;-4.81%;-14.25%;-17.46%;-7.14%;59.97%
Fjordland Exploration Inc.;FEX;0.18%;2.86%;9.23%;18.01%;15.22%;59.45%
UGE International Ltd.;UGE;2.35%;5.36%;18.87%;5.98%;-16.84%;58.11%
G6 Materials Corp.;GGG;-1.06%;-9.06%;-5.58%;-4.51%;10.39%;57.89%
Argentina Lithium & Energy Corp.;LIT;-2.72%;-2.67%;-14.93%;-36.95%;-40.06%;57.79%
Metalex Ventures Ltd;MTX;-0.05%;18.32%;24.79%;49.60%;6.63%;57.53%
Murchison Minerals Ltd.;MUR;-3.69%;-15.64%;-9.78%;1.89%;55.84%;55.84%
Trigon Metals Inc.;TM;-5.60%;-15.70%;7.89%;23.54%;8.53%;55.52%
Aurora Solar Technologies Inc.;ACU;-1.68%;-13.96%;-19.88%;40.48%;-20.98%;53.16%
Evergold Corp.;EVER;-8.35%;3.13%;58.72%;173.00%;-43.89%;50.83%
EMX Royalty Corporation;EMX;-3.21%;-6.22%;13.12%;2.26%;-39.87%;49.59%
Starr Peak Mining Ltd.;STE;-4.14%;7.77%;0.72%;1.36%;7.52%;49.39%
The Limestone Boat Company Limited;BOAT;-0.40%;17.24%;18.97%;29.34%;48.56%;48.56%
Battery Mineral Resources Corp.;BMR;3.63%;5.86%;363.25%;84.98%;48.49%;48.49%
Defiance Silver Corp.;DEF;0.86%;5.56%;11.17%;15.74%;20.11%;48.45%
Maple Gold Mines Ltd.;MGM;0.15%;-4.48%;-6.81%;-5.88%;-3.71%;46.32%
Valore Metals Corp.;VO;-0.04%;3.03%;6.72%;13.07%;4.06%;45.91%
Margaret Lake Diamonds Inc.;DIA;0.37%;1.77%;4.95%;14.30%;14.87%;45.69%
White Gold Corp.;WGO;-2.83%;-10.96%;-20.08%;-11.65%;-12.78%;45.42%
OneSoft Solutions Inc.;OSS;3.14%;-5.73%;37.70%;-17.03%;-53.12%;43.72%
Metalore Resources Limited;MET;1.22%;-2.92%;7.11%;28.14%;17.06%;42.83%
Blackrock Silver Corp.;BRC;-0.11%;13.45%;13.82%;34.88%;17.35%;39.17%
Bitcoin Well Inc.;BTCW;-4.82%;-3.50%;38.45%;38.45%;38.45%;38.45%
First Andes Silver Ltd.;FAS;2.86%;0.00%;29.00%;64.62%;-1.68%;38.27%
Contagious Gaming Inc.;CNS;-1.65%;2.12%;-2.63%;17.70%;-11.01%;38.22%
M3 Metals Corp.;MT;-1.36%;-7.44%;-15.58%;-12.20%;-18.13%;37.85%
East West Petroleum Corp;EW;0.85%;1.79%;19.43%;-3.69%;-13.92%;37.43%
Mayfair Gold Corp.;MFG;-3.49%;-1.28%;18.35%;32.08%;31.19%;36.75%
Tiny Ltd.;TINY;1.15%;21.02%;33.82%;36.73%;36.41%;36.41%
ESE Entertainment Inc.;ESE;-3.08%;2.77%;-8.05%;5.72%;14.48%;36.39%
Aurion Resources Ltd;AU;-1.93%;3.72%;24.59%;-1.47%;19.82%;33.78%
Goldex Resources Corporation;GDX;-0.88%;3.60%;9.49%;11.81%;-3.08%;33.68%
FTI Foodtech International Inc.;FTI;-1.12%;-2.92%;22.10%;62.00%;163.25%;33.26%
Equity Metals Corporation;EQTY;-0.05%;3.03%;9.96%;19.19%;32.11%;32.11%
Silver Predator Corp.;SPD;1.10%;9.20%;14.49%;20.08%;9.17%;31.57%
Euro Manganese Inc.;EMN;-4.71%;2.00%;12.50%;23.35%;-16.83%;29.90%
Eco (Atlantic) Oil & Gas Ltd.;EOG;-1.18%;-10.75%;-1.59%;8.31%;40.60%;29.37%
Aben Minerals Ltd.;ABM;-1.09%;14.04%;11.67%;22.43%;11.26%;28.61%
Decklar Resources Inc.;DKL;0.72%;1.13%;-9.73%;-30.79%;-5.59%;27.93%
FPX Nickel Corp.;FPX;-0.72%;3.51%;6.33%;14.75%;-19.35%;27.10%
American Creek Resources Ltd.;AMK;-0.29%;-3.33%;18.73%;20.23%;28.62%;26.81%
VVC Exploration Corporation;VVC;66.67%;0.00%;-16.67%;0.00%;-58.33%;25.00%
